,AnimalID,DateTime_Intake,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,Result,year,month,percent,Time_stayed,Time_stayed_days
13,A731061,2016-07-15 11:29:00,Owner Surrender,Normal,Bird,Intact Male,0.4166666666666667,Chicken Mix,dark,2016-07-28 00:00:00,2016-01-15 00:00:00,Intact Male,0.5,0.0,2016,7,1.2195121951219512,12 days 12:31:00.000000000,12.521527777777777
14,A700397,2015-05-01 11:43:00,Owner Surrender,Normal,Dog,Spayed Female,2.0,Jack Russell Terrier Mix,light,2015-05-03 19:10:00,2013-04-13 00:00:00,Spayed Female,2.0,0.0,2015,5,1.0416666666666665,2 days 07:27:00.000000000,2.310416666666667
15,A698164,2015-03-06 18:48:00,Wildlife,Normal,Other,Unknown,0.07692307692307693,Bat,dark,2015-03-07 09:44:00,2015-02-06 00:00:00,Unknown,0.07692307692307693,1.0,2015,3,1.3157894736842104,0 days 14:56:00.000000000,0.6222222222222222
16,A515503,2016-08-03 09:28:00,Stray,Normal,Dog,Neutered Male,10.0,Labrador Retriever Mix,dark,2016-08-04 09:14:00,2006-07-10 00:00:00,Neutered Male,10.0,0.0,2016,8,1.2345679012345678,0 days 23:46:00.000000000,0.9902777777777778
17,A786619,2018-12-28 15:57:00,Stray,Normal,Dog,Intact Female,4.0,Labrador Retriever Mix,medium,2018-12-29 17:07:00,2014-12-29 00:00:00,Intact Female,4.0,0.0,2018,12,1.25,1 days 01:10:00.000000000,1.0486111111111112
18,A684390,2014-07-22 18:45:00,Stray,Normal,Dog,Intact Male,5.0,Chihuahua Shorthair Mix,light,2014-09-01 19:25:00,2009-07-22 00:00:00,Neutered Male,5.0,0.0,2014,7,1.2195121951219512,41 days 00:40:00.000000000,41.02777777777778
19,A711459,2015-09-07 11:30:00,Stray,Normal,Dog,Neutered Male,2.0,Labrador Retriever Mix,dark,2015-09-20 15:53:00,2013-09-07 00:00:00,Neutered Male,2.0,0.0,2015,9,1.1494252873563218,13 days 04:23:00.000000000,13.182638888888889
20,A746641,2017-04-06 09:13:00,Owner Surrender,Normal,Cat,Neutered Male,3.0,Domestic Shorthair Mix,medium,2017-04-08 16:51:00,2014-04-06 00:00:00,Neutered Male,3.0,0.0,2017,4,1.5873015873015872,2 days 07:38:00.000000000,2.3180555555555555
21,A744588,2017-03-03 14:53:00,Owner Surrender,Normal,Cat,Neutered Male,4.0,Domestic Longhair Mix,light,2017-03-12 11:41:00,2013-03-03 00:00:00,Neutered Male,4.0,0.0,2017,3,1.3157894736842104,8 days 20:48:00.000000000,8.866666666666667
22,A738949,2016-12-07 13:03:00,Stray,Normal,Cat,Spayed Female,1.0,Domestic Shorthair Mix,medium,2016-12-12 16:04:00,2015-11-24 00:00:00,Spayed Female,1.0,0.0,2016,12,1.25,5 days 03:01:00.000000000,5.125694444444444
23,A699965,2015-04-05 11:03:00,Stray,Normal,Dog,Neutered Male,2.0,Miniature Pinscher Mix,dark,2015-04-11 15:24:00,2013-04-05 00:00:00,Neutered Male,2.0,0.0,2015,4,1.5873015873015872,6 days 04:21:00.000000000,6.18125
24,A705637,2015-06-19 00:00:00,Owner Surrender,Sick,Dog,Unknown,0.5,Boxer Mix,light,2015-06-19 17:17:00,2014-11-19 00:00:00,Unknown,0.5,0.0,2015,6,0.8928571428571428,0 days 17:17:00.000000000,0.720138888888889
25,A810724,2019-12-18 15:47:00,Stray,Normal,Cat,Neutered Male,1.0,Domestic Shorthair,medium,2019-12-18 18:18:00,2018-12-18 00:00:00,Neutered Male,1.0,0.0,2019,12,1.25,0 days 02:31:00.000000000,0.10486111111111111
26,A769138,2018-03-30 22:46:00,Stray,Normal,Dog,Intact Male,0.4166666666666667,Beagle Mix,dark,2018-04-16 15:01:00,2017-10-06 00:00:00,Neutered Male,0.5,0.0,2018,3,1.3157894736842104,16 days 16:15:00.000000000,16.677083333333332
27,A687390,2014-09-04 11:54:00,Stray,Normal,Cat,Unknown,1.0,Domestic Shorthair Mix,light,2014-09-06 09:00:00,2013-09-04 00:00:00,Unknown,1.0,0.0,2014,9,1.1494252873563218,1 days 21:06:00.000000000,1.8791666666666667
28,A812831,2020-01-29 14:06:00,Stray,Normal,Dog,Intact Female,0.25,Yorkshire Terrier,dark,2020-01-29 18:45:00,2019-10-29 00:00:00,Intact Female,0.25,0.0,2020,1,1.694915254237288,0 days 04:39:00.000000000,0.19375
29,A663684,2014-11-10 11:24:00,Owner Surrender,Normal,Dog,Neutered Male,6.0,Siberian Husky Mix,light,2014-11-13 18:43:00,2008-10-24 00:00:00,Neutered Male,6.0,0.0,2014,11,1.098901098901099,3 days 07:19:00.000000000,3.3048611111111112
30,A616489,2014-10-16 14:17:00,Stray,Normal,Dog,Spayed Female,3.0,Beagle Mix,medium,2014-10-16 18:47:00,2011-01-23 00:00:00,Spayed Female,3.0,0.0,2014,10,0.9345794392523363,0 days 04:30:00.000000000,0.18750000000000003
31,A800742,2019-07-26 00:21:00,Wildlife,Normal,Other,Unknown,1.0,Bat,dark,2019-07-26 10:03:00,2018-07-26 00:00:00,Unknown,1.0,1.0,2019,7,1.2195121951219512,0 days 09:42:00.000000000,0.4041666666666667
32,A783600,2018-11-02 15:00:00,Stray,Normal,Cat,Intact Female,0.038461538461538464,Domestic Shorthair Mix,dark,2018-11-03 07:37:00,2018-10-18 00:00:00,Intact Female,0.038461538461538464,0.0,2018,11,1.098901098901099,0 days 16:37:00.000000000,0.6923611111111112
33,A704245,2015-06-02 18:22:00,Stray,Normal,Dog,Intact Female,0.16666666666666666,Black Mouth Cur Mix,medium,2015-06-07 18:21:00,2015-03-22 00:00:00,Spayed Female,0.16666666666666666,0.0,2015,6,0.8928571428571428,4 days 23:59:00.000000000,4.999305555555556
34,A710782,2015-08-27 15:12:00,Stray,Normal,Cat,Unknown,0.057692307692307696,Domestic Shorthair Mix,light,2015-08-27 17:16:00,2015-08-05 00:00:00,Unknown,0.057692307692307696,0.0,2015,8,1.2345679012345678,0 days 02:04:00.000000000,0.08611111111111112
35,A678459,2014-05-09 11:02:00,Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Longhair Mix,light,2014-06-03 17:19:00,2014-03-29 00:00:00,Neutered Male,0.16666666666666666,0.0,2014,5,1.0416666666666665,25 days 06:17:00.000000000,25.261805555555554
36,A693409,2014-12-07 12:51:00,Stray,Normal,Cat,Intact Female,0.3333333333333333,Domestic Shorthair Mix,dark,2014-12-08 09:00:00,2014-08-07 00:00:00,Intact Female,0.3333333333333333,0.0,2014,12,1.25,0 days 20:09:00.000000000,0.8395833333333333
37,A703114,2015-05-20 16:41:00,Stray,Normal,Dog,Intact Female,0.08333333333333333,Cardigan Welsh Corgi/Australian Cattle Dog,Tricolor,2015-05-23 14:04:00,2015-03-20 00:00:00,Intact Female,0.16666666666666666,0.0,2015,5,1.0416666666666665,2 days 21:23:00.000000000,2.8909722222222225
38,A730980,2016-07-14 11:06:00,Stray,Normal,Cat,Intact Male,1.0,Domestic Shorthair Mix,light,2016-07-15 09:00:00,2015-07-14 00:00:00,Neutered Male,1.0,0.0,2016,7,1.2195121951219512,0 days 21:54:00.000000000,0.9125
39,A699135,2015-03-23 11:19:00,Stray,Normal,Dog,Intact Male,0.5833333333333334,Catahoula Mix,dark,2015-03-26 15:41:00,2014-07-23 00:00:00,Intact Male,0.6666666666666666,0.0,2015,3,1.3157894736842104,3 days 04:22:00.000000000,3.1819444444444445
40,A766869,2018-02-20 18:32:00,Owner Surrender,Normal,Dog,Neutered Male,1.0,Black/Tan Hound Mix,Tricolor,2019-02-25 18:07:00,2017-12-03 00:00:00,Neutered Male,0.16666666666666666,0.0,2019,2,1.5151515151515151,369 days 23:35:00.000000000,369.9826388888889
41,A804099,2019-09-10 16:10:00,Owner Surrender,Normal,Cat,Neutered Male,4.0,Domestic Shorthair,dark,2019-10-13 18:08:00,2015-09-10 00:00:00,Neutered Male,4.0,0.0,2019,9,1.1494252873563218,33 days 01:58:00.000000000,33.081944444444446
42,A668994,2013-12-12 15:17:00,Wildlife,Sick,Other,Unknown,0.75,Fox Mix,medium,2013-12-12 15:48:00,2013-03-12 00:00:00,Unknown,0.75,1.0,2013,12,1.25,0 days 00:31:00.000000000,0.02152777777777778
43,A788628,2019-02-06 06:38:00,Stray,Nursing,Cat,Intact Female,0.0027397260273972603,Domestic Shorthair Mix,light,2019-05-12 18:35:00,2019-02-05 00:00:00,Spayed Female,0.25,0.0,2019,2,1.5151515151515151,95 days 11:57:00.000000000,95.49791666666668
44,A673275,2014-02-21 12:22:00,Stray,Normal,Dog,Intact Male,3.0,Pit Bull Mix,medium,2014-03-19 15:17:00,2011-02-21 00:00:00,Intact Male,3.0,1.0,2014,2,1.5151515151515151,26 days 02:55:00.000000000,26.12152777777778
45,A784146,2018-11-12 13:56:00,Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Medium Hair Mix,light,2018-11-23 21:04:00,2018-09-12 00:00:00,Intact Male,0.16666666666666666,0.0,2018,11,1.098901098901099,11 days 07:08:00.000000000,11.297222222222224
46,A783950,2018-11-26 17:05:00,Owner Surrender,Normal,Dog,Spayed Female,5.0,Staffordshire Mix,medium,2018-12-04 11:08:00,2013-01-28 00:00:00,Spayed Female,5.0,0.0,2018,12,1.25,7 days 18:03:00.000000000,7.752083333333333
47,A803724,2019-09-05 12:05:00,Owner Surrender,Normal,Dog,Neutered Male,0.5833333333333334,Wire Hair Fox Terrier,dark,2019-09-06 16:14:00,2019-01-05 00:00:00,Neutered Male,0.6666666666666666,0.0,2019,9,1.1494252873563218,1 days 04:09:00.000000000,1.1729166666666666
48,A783719,2018-11-05 10:25:00,Stray,Normal,Dog,Intact Male,0.4166666666666667,Great Pyrenees/Catahoula,light,2018-11-12 15:59:00,2018-05-21 00:00:00,Intact Male,0.4166666666666667,0.0,2018,11,1.098901098901099,7 days 05:34:00.000000000,7.231944444444444
49,A726864,2016-05-15 15:27:00,Stray,Normal,Cat,Unknown,0.057692307692307696,Domestic Shorthair Mix,light,2016-05-15 17:17:00,2016-04-23 00:00:00,Unknown,0.057692307692307696,0.0,2016,5,1.0416666666666665,0 days 01:50:00.000000000,0.0763888888888889
50,A729606,2016-06-21 09:14:00,Stray,Normal,Dog,Intact Male,2.0,Basset Hound/Labrador Retriever,dark,2016-06-26 17:38:00,2014-06-21 00:00:00,Neutered Male,2.0,0.0,2016,6,0.8928571428571428,5 days 08:24:00.000000000,5.35
51,A707383,2015-07-12 11:03:00,Stray,Normal,Dog,Intact Male,0.16666666666666666,Anatol Shepherd/Australian Shepherd,Tricolor,2015-07-29 15:51:00,2015-04-12 00:00:00,Intact Male,0.25,0.0,2015,7,1.2195121951219512,17 days 04:48:00.000000000,17.2
52,A727699,2016-05-25 08:02:00,Stray,Injured,Cat,Spayed Female,10.0,Domestic Shorthair Mix,dark,2016-06-02 14:29:00,2006-05-25 00:00:00,Spayed Female,10.0,1.0,2016,5,1.0416666666666665,8 days 06:27:00.000000000,8.26875
53,A708286,2015-07-25 11:58:00,Stray,Normal,Cat,Neutered Male,3.0,Domestic Shorthair Mix,dark,2015-07-30 13:57:00,2012-07-25 00:00:00,Neutered Male,3.0,0.0,2015,7,1.2195121951219512,5 days 01:59:00.000000000,5.082638888888889
54,A755288,2017-08-01 07:29:00,Stray,Injured,Cat,Intact Male,2.0,Domestic Shorthair Mix,light,2017-08-01 10:48:00,2015-08-01 00:00:00,Intact Male,2.0,0.0,2017,8,1.2345679012345678,0 days 03:19:00.000000000,0.13819444444444445
55,A789704,2019-02-26 11:26:00,Owner Surrender,Normal,Dog,Intact Male,3.0,Chihuahua Shorthair Mix,light,2019-03-19 14:26:00,2016-02-26 00:00:00,Neutered Male,3.0,0.0,2019,2,1.5151515151515151,21 days 03:00:00.000000000,21.125
56,A724124,2016-04-12 13:05:00,Stray,Normal,Dog,Intact Male,1.0,Australian Cattle Dog Mix,medium,2016-04-18 18:43:00,2015-04-12 00:00:00,Neutered Male,1.0,0.0,2016,4,1.5873015873015872,6 days 05:38:00.000000000,6.2347222222222225
57,A692375,2014-11-19 10:54:00,Owner Surrender,Normal,Dog,Intact Male,0.07692307692307693,German Shepherd/Labrador Retriever,dark,2014-12-20 17:56:00,2014-10-19 00:00:00,Neutered Male,0.16666666666666666,0.0,2014,11,1.098901098901099,31 days 07:02:00.000000000,31.293055555555554
58,A750648,2017-05-30 08:01:00,Stray,Sick,Dog,Intact Male,0.4166666666666667,Pit Bull Mix,light,2017-05-30 13:26:00,2016-11-30 00:00:00,Intact Male,0.4166666666666667,0.0,2017,5,1.0416666666666665,0 days 05:25:00.000000000,0.22569444444444445
59,A717021,2015-11-30 17:23:00,Stray,Normal,Cat,Intact Female,10.0,Domestic Shorthair Mix,dark,2015-11-30 18:29:00,2005-11-30 00:00:00,Intact Female,10.0,1.0,2015,11,1.098901098901099,0 days 01:06:00.000000000,0.04583333333333334
60,A726173,2016-05-07 13:22:00,Stray,Normal,Cat,Intact Male,0.3333333333333333,Domestic Shorthair Mix,dark,2016-05-11 19:04:00,2015-12-07 00:00:00,Neutered Male,0.4166666666666667,0.0,2016,5,1.0416666666666665,4 days 05:42:00.000000000,4.2375
61,A694795,2015-07-13 14:18:00,Owner Surrender,Normal,Dog,Spayed Female,1.0,Pit Bull Mix,dark,2015-08-27 00:00:00,2014-01-04 00:00:00,Spayed Female,1.0,0.0,2015,7,1.2195121951219512,44 days 09:42:00.000000000,44.40416666666667
62,A772638,2018-05-22 09:47:00,Stray,Sick,Cat,Intact Male,0.07692307692307693,Domestic Medium Hair Mix,light,2018-06-16 13:23:00,2018-04-22 00:00:00,Intact Male,0.08333333333333333,0.0,2018,5,1.0416666666666665,25 days 03:36:00.000000000,25.15
63,A711213,2015-09-03 17:35:00,Stray,Normal,Dog,Intact Female,1.0,Labrador Retriever Mix,medium,2015-09-11 18:40:00,2014-09-03 00:00:00,Spayed Female,1.0,0.0,2015,9,1.1494252873563218,8 days 01:05:00.000000000,8.04513888888889
64,A769410,2018-04-14 16:56:00,Stray,Normal,Dog,Intact Female,3.0,Chihuahua Shorthair Mix,medium,2018-04-18 17:50:00,2015-04-04 00:00:00,Spayed Female,3.0,0.0,2018,4,1.5873015873015872,4 days 00:54:00.000000000,4.0375
65,A763361,2017-12-08 14:21:00,Stray,Normal,Cat,Intact Female,1.0,Domestic Shorthair Mix,dark,2017-12-20 17:31:00,2016-12-08 00:00:00,Spayed Female,1.0,0.0,2017,12,1.25,12 days 03:10:00.000000000,12.131944444444446
66,A671537,2014-01-26 16:55:00,Stray,Normal,Dog,Intact Male,1.0,Anatol Shepherd/Labrador Retriever,light,2014-02-02 14:00:00,2012-07-26 00:00:00,Intact Male,1.0,0.0,2014,1,1.694915254237288,6 days 21:05:00.000000000,6.878472222222222
67,A666071,2013-10-26 14:45:00,Stray,Normal,Cat,Intact Female,0.07692307692307693,Domestic Shorthair Mix,dark,2013-10-30 15:14:00,2013-09-26 00:00:00,Intact Female,0.07692307692307693,0.0,2013,10,0.9345794392523363,4 days 00:29:00.000000000,4.020138888888889
68,A706132,2015-06-25 11:20:00,Stray,Normal,Dog,Spayed Female,2.0,Australian Shepherd Mix,dark,2015-07-01 14:56:00,2013-06-25 00:00:00,Spayed Female,2.0,0.0,2015,6,0.8928571428571428,6 days 03:36:00.000000000,6.15
69,A741105,2016-12-28 11:53:00,Stray,Normal,Dog,Intact Female,1.0,American Staffordshire Terrier Mix,light,2017-01-07 15:33:00,2015-12-28 00:00:00,Spayed Female,1.0,0.0,2016,12,1.25,10 days 03:40:00.000000000,10.152777777777779
70,A681526,2014-06-17 23:23:00,Public Assist,Normal,Cat,Intact Female,1.0,Domestic Medium Hair Mix,medium,2014-06-21 09:00:00,2013-06-17 00:00:00,Intact Female,1.0,0.0,2014,6,0.8928571428571428,3 days 09:37:00.000000000,3.4006944444444445
71,A786348,2018-12-22 15:11:00,Stray,Normal,Cat,Intact Female,0.16666666666666666,Domestic Shorthair Mix,dark,2018-12-27 16:18:00,2018-09-22 00:00:00,Spayed Female,0.25,0.0,2018,12,1.25,5 days 01:07:00.000000000,5.0465277777777775
72,A678492,2014-05-09 14:32:00,Stray,Normal,Cat,Intact Male,0.057692307692307696,Siamese Mix,light,2014-05-09 15:28:00,2014-04-17 00:00:00,Intact Male,0.057692307692307696,0.0,2014,5,1.0416666666666665,0 days 00:56:00.000000000,0.03888888888888889
73,A682618,2014-06-30 13:49:00,Euthanasia Request,Normal,Dog,Neutered Male,5.0,Australian Cattle Dog,medium,2014-06-30 16:00:00,2008-12-30 00:00:00,Neutered Male,5.0,1.0,2014,6,0.8928571428571428,0 days 02:11:00.000000000,0.09097222222222223
74,A662854,2016-11-15 17:08:00,Stray,Normal,Dog,Neutered Male,5.0,Australian Shepherd Mix,medium,2016-11-22 00:00:00,2011-09-09 00:00:00,Neutered Male,5.0,0.0,2016,11,1.098901098901099,6 days 06:52:00.000000000,6.286111111111111
75,A673080,2014-02-19 13:51:00,Public Assist,Normal,Dog,Intact Female,4.0,Yorkshire Terrier Mix,dark,2014-04-29 14:44:00,2010-02-19 00:00:00,Spayed Female,4.0,0.0,2014,2,1.5151515151515151,69 days 00:53:00.000000000,69.03680555555556
76,A752511,2017-06-23 11:38:00,Stray,Normal,Cat,Intact Male,0.25,Domestic Shorthair Mix,dark,2017-08-19 12:52:00,2017-03-23 00:00:00,Neutered Male,0.3333333333333333,0.0,2017,6,0.8928571428571428,57 days 01:14:00.000000000,57.05138888888889
77,A692921,2014-11-28 13:19:00,Stray,Normal,Dog,Intact Female,1.0,Pit Bull Mix,medium,2014-12-30 19:16:00,2013-11-28 00:00:00,Spayed Female,1.0,0.0,2014,11,1.098901098901099,32 days 05:57:00.000000000,32.24791666666667
78,A741964,2017-01-12 12:16:00,Owner Surrender,Normal,Cat,Neutered Male,9.0,Siamese Mix,medium,2017-01-13 16:38:00,2008-01-12 00:00:00,Neutered Male,9.0,0.0,2017,1,1.694915254237288,1 days 04:22:00.000000000,1.1819444444444445
79,A725308,2016-04-28 08:03:00,Stray,Nursing,Cat,Unknown,0.00821917808219178,Domestic Shorthair Mix,dark,2016-04-28 17:06:00,2016-04-25 00:00:00,Unknown,0.00821917808219178,0.0,2016,4,1.5873015873015872,0 days 09:03:00.000000000,0.3770833333333334
80,A788754,2019-02-08 10:19:00,Stray,Normal,Dog,Intact Female,0.25,Siberian Husky Mix,medium,2019-02-13 18:06:00,2018-10-17 00:00:00,Spayed Female,0.25,0.0,2019,2,1.5151515151515151,5 days 07:47:00.000000000,5.324305555555555
81,A745352,2017-03-16 14:15:00,Stray,Normal,Cat,Intact Female,7.0,Domestic Medium Hair Mix,dark,2017-03-21 15:03:00,2010-03-16 00:00:00,Intact Female,7.0,0.0,2017,3,1.3157894736842104,5 days 00:48:00.000000000,5.033333333333333
82,A430328,2016-10-24 18:49:00,Stray,Normal,Dog,Spayed Female,10.0,Labrador Retriever Mix,dark,2016-10-25 13:04:00,2005-12-22 00:00:00,Spayed Female,10.0,0.0,2016,10,0.9345794392523363,0 days 18:15:00.000000000,0.7604166666666666
83,A773735,2018-06-04 19:12:00,Stray,Normal,Cat,Intact Female,0.6666666666666666,Domestic Medium Hair Mix,medium,2018-09-07 17:56:00,2017-09-04 00:00:00,Spayed Female,1.0,0.0,2018,6,0.8928571428571428,94 days 22:44:00.000000000,94.94722222222224
84,A802058,2019-08-13 14:02:00,Stray,Normal,Cat,Intact Male,0.038461538461538464,Domestic Shorthair Mix,dark,2019-08-13 17:49:00,2019-07-29 00:00:00,Intact Male,0.038461538461538464,0.0,2019,8,1.2345679012345678,0 days 03:47:00.000000000,0.15763888888888888
85,A791366,2019-03-25 07:04:00,Stray,Sick,Cat,Intact Male,0.25,Domestic Shorthair Mix,dark,2019-03-31 17:32:00,2018-11-25 00:00:00,Intact Male,0.3333333333333333,0.0,2019,3,1.3157894736842104,6 days 10:28:00.000000000,6.436111111111111
86,A807095,2019-10-20 15:39:00,Stray,Normal,Cat,Intact Female,0.057692307692307696,Domestic Shorthair,dark,2019-10-20 18:24:00,2019-09-25 00:00:00,Intact Female,0.057692307692307696,0.0,2019,10,0.9345794392523363,0 days 02:45:00.000000000,0.11458333333333333
87,A668787,2013-12-09 15:24:00,Stray,Normal,Dog,Intact Female,1.0,Beagle/Boxer,dark,2013-12-13 17:24:00,2012-12-09 00:00:00,Spayed Female,1.0,0.0,2013,12,1.25,4 days 02:00:00.000000000,4.083333333333333
88,A778759,2018-08-20 08:45:00,Stray,Normal,Cat,Intact Male,0.0136986301369863,Domestic Shorthair Mix,dark,2018-08-20 10:36:00,2018-08-15 00:00:00,Intact Male,0.0136986301369863,0.0,2018,8,1.2345679012345678,0 days 01:51:00.000000000,0.07708333333333334
89,A781105,2018-09-24 14:01:00,Owner Surrender,Normal,Dog,Intact Female,0.5833333333333334,Chihuahua Shorthair Mix,medium,2018-09-26 18:19:00,2018-01-24 00:00:00,Spayed Female,0.6666666666666666,0.0,2018,9,1.1494252873563218,2 days 04:18:00.000000000,2.1791666666666667
90,A726164,2016-05-07 12:36:00,Owner Surrender,Normal,Dog,Spayed Female,1.0,Labrador Retriever Mix,dark,2016-05-07 15:39:00,2015-05-07 00:00:00,Spayed Female,1.0,0.0,2016,5,1.0416666666666665,0 days 03:03:00.000000000,0.12708333333333333
91,A766788,2018-02-16 15:15:00,Stray,Normal,Dog,Intact Female,6.0,Great Pyrenees Mix,light,2018-02-28 15:29:00,2012-02-16 00:00:00,Spayed Female,6.0,0.0,2018,2,1.5151515151515151,12 days 00:14:00.000000000,12.009722222222223
92,A751071,2017-06-03 17:45:00,Stray,Normal,Cat,Intact Male,1.0,Domestic Shorthair Mix,light,2017-06-07 00:00:00,2016-06-03 00:00:00,Neutered Male,1.0,0.0,2017,6,0.8928571428571428,3 days 06:15:00.000000000,3.2604166666666665
93,A672121,2014-02-04 15:58:00,Stray,Normal,Dog,Intact Male,2.0,Pit Bull/Australian Cattle Dog,light,2014-03-17 18:08:00,2012-02-04 00:00:00,Neutered Male,2.0,0.0,2014,2,1.5151515151515151,41 days 02:10:00.000000000,41.09027777777778
94,A767651,2018-03-05 01:57:00,Public Assist,Normal,Cat,Spayed Female,3.0,Siamese Mix,medium,2018-03-07 12:10:00,2015-03-05 00:00:00,Spayed Female,3.0,0.0,2018,3,1.3157894736842104,2 days 10:13:00.000000000,2.4256944444444444
95,A694410,2014-12-27 16:26:00,Stray,Normal,Cat,Intact Male,0.16666666666666666,Domestic Shorthair Mix,dark,2014-12-31 16:24:00,2014-10-16 00:00:00,Neutered Male,0.16666666666666666,0.0,2014,12,1.25,3 days 23:58:00.000000000,3.998611111111111
96,A732823,2016-08-13 14:22:00,Public Assist,Sick,Cat,Intact Female,1.0,Domestic Shorthair Mix,dark,2016-09-21 15:23:00,2015-08-13 00:00:00,Spayed Female,1.0,0.0,2016,8,1.2345679012345678,39 days 01:01:00.000000000,39.04236111111111
97,A677474,2016-09-13 16:10:00,Euthanasia Request,Aged,Dog,Spayed Female,9.0,Rottweiler Mix,dark,2016-09-13 18:01:00,2007-09-13 00:00:00,Spayed Female,9.0,1.0,2016,9,1.1494252873563218,0 days 01:51:00.000000000,0.07708333333333334
98,A785692,2018-12-07 17:33:00,Stray,Normal,Dog,Intact Male,1.0,Chihuahua Longhair Mix,light,2018-12-11 15:36:00,2017-12-07 00:00:00,Intact Male,1.0,0.0,2018,12,1.25,3 days 22:03:00.000000000,3.91875
99,A708959,2015-08-03 12:12:00,Stray,Normal,Dog,Intact Male,1.0,Chihuahua Shorthair/Dachshund,medium,2015-08-13 16:07:00,2014-08-03 00:00:00,Neutered Male,1.0,0.0,2015,8,1.2345679012345678,10 days 03:55:00.000000000,10.163194444444445
