AnimalID,DateTime_Intake,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,Result,year,month
A740348,2016-12-15 16:56:00,Owner Surrender,Normal,Dog,Intact Male,0.16666666666666666,Chihuahua Shorthair Mix,medium,2016-12-18 18:16:00,2016-09-15 00:00:00,Neutered Male,0.25,0.0,2016,12
A788734,2019-02-07 16:51:00,Stray,Normal,Dog,Intact Female,4.0,Dachshund Wirehair Mix,dark,2019-02-10 17:05:00,2014-02-10 00:00:00,Intact Female,5.0,0.0,2019,2
A801390,2019-08-03 14:42:00,Stray,Normal,Dog,Intact Female,0.07692307692307693,Labrador Retriever Mix,dark,2019-08-04 16:03:00,2019-07-03 00:00:00,Intact Female,0.07692307692307693,0.0,2019,8
A772808,2018-05-23 16:06:00,Stray,Normal,Dog,Neutered Male,2.0,American Pit Bull Terrier Mix,light,2018-07-04 12:52:00,2016-05-23 00:00:00,Neutered Male,2.0,0.0,2018,5
A751126,2017-06-04 13:14:00,Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair Mix,light,2017-06-15 15:52:00,2017-04-28 00:00:00,Intact Male,0.08333333333333333,0.0,2017,6
A741353,2017-01-03 17:32:00,Public Assist,Normal,Dog,Neutered Male,8.0,Labrador Retriever Mix,light,2017-01-10 15:58:00,2009-01-01 00:00:00,Neutered Male,8.0,0.0,2017,1
A728611,2016-06-07 16:55:00,Public Assist,Normal,Dog,Neutered Male,4.0,Chihuahua Shorthair Mix,dark,2016-06-14 11:21:00,2012-06-07 00:00:00,Neutered Male,4.0,0.0,2016,6
A797684,2019-06-16 14:11:00,Stray,Normal,Cat,Neutered Male,2.0,Domestic Shorthair,light,2019-06-26 13:56:00,2017-06-16 00:00:00,Neutered Male,2.0,0.0,2019,6
A742352,2017-02-16 13:02:00,Owner Surrender,Normal,Dog,Neutered Male,5.0,Labrador Retriever Mix,dark,2017-03-03 13:01:00,2012-01-20 00:00:00,Neutered Male,5.0,0.0,2017,2
A811955,2020-01-13 11:12:00,Stray,Normal,Dog,Spayed Female,3.0,Pit Bull Mix,light,2020-01-15 12:27:00,2017-01-13 00:00:00,Spayed Female,3.0,0.0,2020,1
A785209,2018-11-28 13:27:00,Owner Surrender,Normal,Cat,Neutered Male,1.0,Domestic Shorthair Mix,medium,2018-12-31 13:41:00,2017-11-28 00:00:00,Neutered Male,1.0,0.0,2018,11
A775663,2018-07-03 12:23:00,Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair Mix,light,2018-07-14 15:25:00,2018-05-10 00:00:00,Intact Male,0.16666666666666666,0.0,2018,7
A713186,2015-10-03 15:20:00,Stray,Normal,Dog,Intact Male,2.0,Catahoula Mix,Tricolor,2015-10-09 15:25:00,2013-10-03 00:00:00,Intact Male,2.0,0.0,2015,10
A726750,2016-05-14 11:58:00,Wildlife,Sick,Other,Unknown,0.4166666666666667,Raccoon,dark,2016-05-14 12:30:00,2015-11-14 00:00:00,Unknown,0.4166666666666667,1.0,2016,5
A703631,2015-05-27 15:22:00,Stray,Normal,Dog,Intact Male,1.0,Labrador Retriever Mix,dark,2015-07-03 18:50:00,2014-05-27 00:00:00,Neutered Male,1.0,0.0,2015,5
A721439,2016-02-26 18:35:00,Stray,Normal,Dog,Neutered Male,2.0,Labrador Retriever Mix,medium,2016-02-27 12:40:00,2013-02-27 00:00:00,Neutered Male,3.0,0.0,2016,2
A697571,2015-02-25 13:07:00,Public Assist,Injured,Dog,Intact Female,0.9166666666666666,Pit Bull Mix,medium,2015-02-28 13:57:00,2014-03-25 00:00:00,Intact Female,0.9166666666666666,1.0,2015,2
A727490,2016-08-26 11:52:00,Stray,Normal,Cat,Neutered Male,0.3333333333333333,Snowshoe Mix,light,2016-08-31 14:02:00,2016-04-22 00:00:00,Neutered Male,0.3333333333333333,0.0,2016,8
A793523,2019-04-26 13:39:00,Stray,Nursing,Cat,Unknown,0.0027397260273972603,Domestic Shorthair Mix,dark,2019-04-26 00:00:00,2019-04-25 00:00:00,Unknown,0.0027397260273972603,0.0,2019,4
A684196,2014-07-20 15:18:00,Owner Surrender,Normal,Dog,Intact Male,3.0,Nova Scotia Duck Tolling Retriever/Golden Retriever,medium,2014-08-23 16:26:00,2011-07-20 00:00:00,Neutered Male,3.0,0.0,2014,7
A781895,2018-10-07 14:42:00,Stray,Normal,Cat,Intact Female,0.08333333333333333,Domestic Longhair Mix,dark,2019-01-09 12:28:00,2018-08-26 00:00:00,Spayed Female,0.3333333333333333,0.0,2018,10
A726836,2016-05-15 11:41:00,Owner Surrender,Normal,Cat,Intact Male,0.07692307692307693,Domestic Shorthair Mix,light,2016-05-24 13:16:00,2016-04-15 00:00:00,Intact Male,0.08333333333333333,0.0,2016,5
A716768,2015-11-24 16:58:00,Stray,Normal,Dog,Spayed Female,4.0,Dalmatian/Labrador Retriever,light,2015-11-30 13:59:00,2011-11-24 00:00:00,Spayed Female,4.0,0.0,2015,11
A716085,2015-10-17 09:39:00,Owner Surrender,Normal,Cat,Intact Male,0.038461538461538464,Domestic Medium Hair Mix,light,2015-12-20 19:16:00,2015-10-01 00:00:00,Neutered Male,0.16666666666666666,0.0,2015,10
A798252,2019-06-23 15:06:00,Owner Surrender,Normal,Dog,Intact Male,0.08333333333333333,Great Pyrenees Mix,dark,2019-06-24 13:29:00,2019-04-30 00:00:00,Intact Male,0.08333333333333333,0.0,2019,6
A807503,2019-10-25 15:46:00,Stray,Normal,Cat,Intact Female,2.0,Domestic Shorthair,dark,2019-10-29 13:42:00,2017-10-25 00:00:00,Intact Female,2.0,0.0,2019,10
A705232,2015-06-15 10:07:00,Stray,Sick,Cat,Neutered Male,5.0,Domestic Shorthair Mix,medium,2017-11-02 06:56:00,2010-06-15 00:00:00,Neutered Male,7.0,0.0,2015,6
A798340,2019-06-24 17:11:00,Public Assist,Sick,Other,Unknown,0.3333333333333333,Bat,dark,2019-06-24 19:50:00,2019-01-24 00:00:00,Unknown,0.3333333333333333,1.0,2019,6
A664435,2013-10-03 11:51:00,Stray,Normal,Cat,Intact Female,0.4166666666666667,Domestic Shorthair Mix,dark,2013-10-03 15:33:00,2013-05-03 00:00:00,Intact Female,0.4166666666666667,0.0,2013,10
